customer_id,recommend
33,"[32413721, 32408503, 1529965, 1533427, 1533431, 32351750, 32314557, 32314553, 32314541, 14080603]"
85,"[6161649, 602270, 601784, 601673, 6172149, 1816783, 50414368, 50414723, 6320071, 6161635]"
154,"[59239919, 470058, 467543, 58543601, 58708864, 58565302, 45663006, 45653142, 49195451, 997533]"
164,"[897016, 5067165, 863707, 551563, 594792, 621111, 685871, 595746, 4696363, 3123889]"
178,"[5914507, 3241171, 50668886, 4780901, 50349596, 6822517, 5743603, 35284973, 32916024, 6209521]"
194,"[13527009, 13527004, 13527003, 13454614, 13419678, 13407575, 13407573, 13407571, 13527011, 68446728]"
209,"[1639671, 36031711, 36085776, 36085778, 36085781, 36096563, 36313431, 1590661, 50475521, 68446728]"
211,"[12383727, 12383679, 12327749, 12289556, 12225595, 12204804, 12141298, 12141178, 12385895, 68446728]"
237,"[12138656, 12499774, 12416742, 12398634, 12219911, 12202173, 12141298, 12141176, 12480820, 14080603]"
249,"[897789, 897753, 896720, 20286473, 4061017, 47438229, 20271468, 20131511, 20131179, 14080603]"
370,"[1404207, 1407649, 1408963, 25060415, 25059539, 1415641, 25041548, 25036373, 1392943, 68446728]"
458,"[424050, 527803, 447345, 451723, 481515, 446984, 510195, 535578, 510486, 524265]"
486,"[401005, 400017, 370811, 399663, 369179, 398852, 392829, 393443, 396815, 447851]"
534,"[58268326, 10306858, 533019, 408916, 474554, 437217, 474568, 533014, 442420, 518928]"
557,"[48882452, 48363446, 47169146, 11258668, 48523400, 14683313, 13624088, 48523412, 44984246, 2428429]"
665,"[27639434, 27633936, 27612080, 1210031, 1210271, 1217933, 27605626, 27594632, 1086148, 68446728]"
760,"[10930944, 10920495, 10920477, 10920463, 10920461, 10920459, 10914801, 10866307, 11081535, 68446728]"
843,"[32225266, 33596834, 37368606, 569812, 38385452, 38110395, 963063, 12130005, 35010878, 39820452]"
928,"[467482, 490968, 492730, 431336, 461524, 447164, 508792, 508783, 469704, 447845]"
976,"[25000324, 1415641, 24989966, 24989891, 24989885, 24989879, 24989877, 24989871, 25749593, 14080603]"
1050,"[470894, 424290, 490444, 527803, 524265, 510486, 369231, 446984, 510195, 535578]"
1135,"[58395899, 67872217, 50238465, 49270566, 62686770, 49273687, 58991948, 575440, 603331, 45613734]"
1137,"[50475527, 50475710, 21053410, 644080, 644072, 50493312, 641906, 21032159, 50668886, 10866305]"
1319,"[44859938, 50367675, 58513503, 42689431, 24692565, 6479067, 430957, 392577, 6472585, 48597633]"
1349,"[383364, 397727, 397730, 399663, 400017, 401005, 393443, 446984, 510195, 475371]"
1412,"[9687416, 9687412, 9687409, 9687403, 9673269, 9608888, 9490657, 9486536, 9310480, 68446728]"
1587,"[7703755, 7921601, 7922982, 7924784, 7929088, 7933705, 7940069, 7957647, 7922974, 68446728]"
1631,"[682020, 970932, 59291594, 581022, 11194574, 57905699, 12141163, 57669811, 58067810, 15266849]"
1657,"[787020, 35761355, 14683291, 35010878, 12053828, 16135294, 8886013, 41931829, 56000137, 11228288]"
1737,"[11821901, 11856440, 555265, 11502577, 5515555, 884432, 621111, 612808, 595746, 685871]"
1955,"[21495608, 21482587, 21472774, 21446935, 21435647, 997535, 997549, 21374006, 997529, 68446728]"
1962,"[48629558, 600883, 600572, 600544, 600326, 48659057, 599650, 599431, 14994452, 68446728]"
1992,"[39523655, 1476937, 1475803, 1475801, 1475793, 1471887, 39820798, 40052031, 39173483, 41294604]"
2011,"[504743, 508790, 535583, 442427, 495353, 492598, 438787, 456169, 419050, 405579]"
2046,"[48629535, 599431, 5535273, 48629553, 14921530, 48629558, 5537779, 5541279, 596833, 68446728]"
2090,"[11255086, 11255084, 11255075, 11242105, 11241994, 11232444, 11232442, 11228097, 11258668, 68446728]"
2100,"[45349399, 46812043, 568145, 449365, 487572, 510195, 446984, 410674, 481515, 510486]"
2315,"[13833454, 13851453, 13853023, 13853127, 13920939, 13920941, 13958414, 13958436, 13637684, 68446728]"
2347,"[3953469, 3954355, 6756517, 60175288, 58946337, 59344702, 4549177, 4780915, 4780907, 59411896]"
2390,"[57220063, 50356121, 17960476, 59207563, 66758026, 62681001, 58340699, 60179274, 62349850, 60027350]"
2559,"[48613098, 48629535, 14958065, 14958061, 48629553, 14921530, 48629558, 596833, 5535273, 68446728]"
2604,"[398852, 397380, 393540, 394868, 392532, 401005, 447851, 383364, 396815, 399663]"
2750,"[1420371, 1429129, 32314541, 32314535, 1442771, 1445365, 32221494, 1445367, 36612792, 68446728]"
2766,"[26447933, 26429101, 26412712, 26412691, 1511363, 26293598, 26289118, 26275807, 1476937, 14080603]"
3100,"[470894, 378448, 35473845, 414645, 474554, 468614, 35283869, 34744727, 8299836, 19364033]"
3171,"[10379317, 10374171, 10372994, 10371573, 10369010, 10366399, 10366397, 10366395, 8470212, 68446728]"
3194,"[31952090, 36474716, 41615763, 36710776, 41233861, 38417459, 35720920, 32221494, 36313431, 36586958]"
3296,"[11821857, 11810799, 11806677, 11806673, 11806671, 11806669, 11806665, 11806663, 11821859, 68446728]"
3415,"[12141163, 12124441, 12120883, 12120084, 12119039, 12110427, 12107894, 12106733, 12081440, 68446728]"
3416,"[399804, 475828, 431196, 449390, 393554, 495353, 442427, 428409, 445238, 472938]"
3437,"[27828455, 27734102, 27734070, 1352339, 27633936, 1352353, 27612080, 1354113, 27828467, 14080603]"
3443,"[6914097, 1254119, 1600103, 1580405, 712741, 1534413, 810227, 16238985, 17937805, 15634594]"
3551,"[3470189, 16530712, 16530716, 16556248, 16562116, 3470475, 3470909, 28724508, 7496281, 68446728]"
