id,title_similar_ind,description_similar_ind
58390336,"[24889348, 25202283, 1664525, 48018642, 55573620, 55582071, 37667006]","[55025250, 24889348, 25202283, 1664525, 48754164, 50272286]"
1664525,"[53904321, 54389415, 65084136, 4071579, 23966748, 50317469, 37667006, 53977374]","[53904321, 55025250, 27979415, 25202283, 50272286, 53977565, 37667006, 53977374]"
55573620,"[54389409, 49895267, 4106563, 10123965, 7611823, 48018642, 55582071, 36300315, 50317469, 56602526]","[54389411, 14677740, 54389395, 55582071, 4071577, 58723518, 4107967]"
24889348,"[16680482, 55025250, 49895269, 55695623, 23966748, 58723518, 10123965, 37667006]","[53904321, 27979415, 25202283, 1664525, 48754164, 50272286, 37667006]"
37667006,"[53904321, 24889348, 54389415, 65084136, 1664525, 50317469, 53977565, 53977374]","[53904321, 24889348, 25202283, 1664525, 53977565, 50272286, 53977374]"
55582071,"[49895267, 49895271, 48018642, 67349493, 36300315, 50317469]","[49895267, 54389413, 55573620, 36300315, 50317469, 58723518]"
15734790,"[23436448, 55025250, 4106563, 49895267, 50490149, 54389413, 53261220, 58723518, 4106495]","[49895267, 4106563, 24889348, 25202283, 48754164, 67349493, 50317469, 53977565, 4106495]"
54389413,"[55025250, 49895267, 15734790, 49895271, 50317469, 58723518]","[49895271, 48018642, 55573620, 55582071, 36300315, 50317469, 58723518]"
48982090,"[65084136, 58708783, 67349493, 55582071, 58709179, 48753629]","[19346989, 58708783, 48754164, 67349493, 48018648, 58709179, 48753629]"
49895267,"[55025250, 53261220, 54389413, 15734790, 17495500, 58723518]","[49895269, 48018642, 67349493, 55582071, 50317469, 58723518]"
25202283,"[55025250, 55696265, 56410108, 48754164, 23966748, 50272286]","[55025250, 55695623, 55696265, 48754164, 56410108, 50272286]"
58709179,"[53977565, 54389413, 55696265, 48982090, 58708783, 56410108, 48753629]","[55695623, 55696265, 48982090, 58708783, 48754164, 67349493, 56410108, 48753629]"
50317469,"[49895271, 1664525, 48018642, 67349493, 55582071, 36300315, 4071579, 53977565, 37667006]","[49895269, 54389413, 55573620, 55582071, 36300315, 58723518]"
48018642,"[16680482, 49895269, 65084136, 19346987, 33581326, 55582071, 23966746, 36300315, 50317469]","[49895267, 49895269, 54389413, 25202283, 67349493, 55054903, 50272286, 58723518, 37667006, 54389407]"
49895271,"[54389409, 53261220, 54389413, 54389395, 4396853, 50317469, 55582071, 48753629]","[49895267, 54389413, 48018642, 4396853, 55582071, 36300315, 50317469]"
48754164,"[26145056, 55025250, 25202283, 58708783, 23966743, 58709179, 23966748, 53977565, 50272286, 55582071]","[55025250, 49895267, 55695623, 25202283, 50317469, 55582071, 50272286, 56410108, 53977565, 58723518]"
55695623,"[16680482, 55696265, 25202283, 48754164, 56410108, 50272286]","[55025250, 55696265, 25202283, 48754164, 58709179, 56410108, 50272286]"
48753629,"[54389409, 53261220, 49895271, 48982090, 58708783, 54389395, 58709179]","[52317345, 49895271, 48982090, 19346987, 58708783, 48754164, 58709179]"
7611823,"[54389409, 4106563, 53977374, 65084136, 1664525, 55573620, 50317469, 37667006, 4106495]","[4106563, 1738407, 25202283, 3738989, 56115411, 48754164, 27979415, 50272286, 50317469, 56602526]"
58708783,"[48982090, 23966748, 48754164, 67349493, 58709179, 56410108, 48753629]","[48982090, 51617979, 3738989, 56115411, 48754164, 58709179, 48753629]"
54389409,"[4106563, 10123965, 49895271, 7611823, 54389395, 4396853, 48018646, 48753629]","[58723520, 26145056, 49895267, 54389415, 14677740, 54389395, 4106363, 56602526]"
55025250,"[24889348, 54389413, 15734790, 55696265, 25202283, 48754164, 50272286, 23966748, 58723518]","[55695623, 25202283, 56115411, 48754164, 56410108, 50272286]"
10123965,"[58723520, 54389409, 16680482, 55025250, 49895269, 1738407, 54389395, 48018646, 4106363, 58723518]","[58723520, 54389415, 54389395, 23966743, 27979415, 4106363, 53977374, 54389407]"
23966746,"[4106563, 19346987, 33581326, 56602526, 56115411, 23966748, 50317469, 37667006]","[23436448, 55025250, 53261220, 50490149, 25202283, 56115411, 23966748]"
4106495,"[58723520, 4106563, 54389411, 15734790, 800399, 7611823, 48018646]","[58723520, 23436448, 4106563, 53261220, 15734790, 800399, 55573620, 67349493, 4071577]"
36300315,"[49895267, 17495500, 48018642, 55573620, 67349493, 55582071, 50317469]","[54389413, 17495500, 48018642, 55582071, 50317469, 58723518]"
49895269,"[16680482, 49895267, 24889348, 48018642, 67349493, 50317469, 55582071, 10123965, 58723518]","[49895267, 54389413, 48018642, 55582071, 50317469, 58723518]"
4106563,"[54389411, 15734790, 33581326, 800399, 55573620, 23966746, 50317469, 56602526, 4106495]","[58723520, 49895267, 15734790, 7611823, 800399, 27979415, 50317469, 4106495]"
11658897,"[26145056, 12207266, 25202283, 58457390, 54651086, 23966742, 53977374]","[52317345, 52317347, 52317351, 54651086, 12208153, 53977374]"
15734786,"[54389415, 25202283, 19346991, 48754164, 23966743, 23966748]","[53904321, 65084136, 1664525, 19346991, 10123965, 37667006]"
23966748,"[25202283, 19346989, 19346991, 48754164, 23966743, 50272286]","[55025250, 25202283, 48754164, 4396853, 50272286, 48018648, 37667006]"
55054903,"[4106563, 65084136, 4071579, 33581326, 48018642, 56115411, 23966746, 51617979, 50317469]","[26145056, 55025250, 65084136, 25202283, 4071579, 56115411, 4396853, 51617979, 50272286]"
54389411,"[58723520, 4106563, 15734790, 48754164, 4396853, 23966748, 56602526, 4106495]","[14677740, 54389395, 55573620, 55582071, 4071577, 58723518, 4107967]"
58723518,"[23436448, 16680482, 55025250, 24889348, 49895269, 49895267, 15734790, 54389413, 10123965]","[54389413, 49895269, 55573620, 55582071, 36300315, 50317469]"
51617979,"[58390336, 52317345, 49895267, 54389413, 15734790, 48982090, 56115411, 55054903, 4071579, 55582071]","[26145056, 54389411, 54389413, 55054903, 14677740, 55573620, 55582071, 50317469, 58723518, 4107967]"
54389407,"[54389415, 50006794, 54389395, 978036, 23966743, 4106363, 23966748]","[58723520, 54389415, 50006794, 25202283, 19346989, 54389395, 23966743, 4106363]"
4396853,"[54389409, 49895271, 25202283, 3738989, 33581326, 54389395, 48754164, 4106363, 23966748, 56602526]","[55054903, 1738407, 49895271, 3738989, 56115411, 50317469, 27979415, 23966748, 10123965, 53977374]"
58457390,"[26145056, 12207266, 52317347, 55696265, 54651086, 11658897, 53977374]","[58390336, 53904321, 1664525, 19346991, 48018642, 53977374]"
54389415,"[50006794, 54389395, 23966743, 4106363, 23966748, 37667006, 54389407]","[58723520, 50006794, 19346989, 54389395, 48018646, 23966743, 4106363, 54389407]"
28040139,"[58390336, 31265956, 1664525, 33581326, 28055759]","[31265956, 54389415, 31375369, 4107967, 55573620, 4087415, 31367323, 54389407]"
19346989,"[58723520, 25202283, 20029489, 48754164, 23966743, 23966748, 50272286]","[58723520, 54389415, 65084136, 23966743, 921817, 4106363, 54389407]"
54389395,"[58723520, 54389409, 49895271, 54389415, 4396853, 23966743, 4106363, 10123965]","[58723520, 54389415, 54389407, 55573620, 48018646, 4106363, 10123965, 4107967]"
