user,item,rating
9672,53270,5
9672,91213,4
3038,56289,5
3038,88524,5
3038,72126,5
3038,131996,5
3038,9077,5
3038,113186,5
9940,34988,5
9940,119325,5
1287,55358,5
1287,3750,5
8481,108161,5
8481,103974,5
8481,79136,5
8481,52494,5
8481,12391,5
8481,114449,5
8481,82888,5
8481,4870,4
8481,3551,5
5089,14654,5
5089,89418,5
5089,118704,5
5089,29063,4
5089,123565,5
8566,128090,5
3069,99744,4
3069,55358,4
749,20231,5
749,76563,5
749,79496,5
749,87960,5
694,2011,5
694,5798,4
694,534,3
214,19368,3
214,56147,5
52,8699,5
52,114346,5
52,53471,5
52,122473,5
4032,128090,5
4032,88524,5
4032,16232,5
11,2604,5
7871,53118,5
9046,92880,5
1563,60710,5
1563,16451,5
1563,41569,5
1563,41725,4
9255,53270,5
685,73150,5
4695,83374,5
4695,119574,5
4695,9521,5
4695,96710,5
8345,7583,4
8345,65630,5
1031,19277,5
6461,55358,5
91,44365,5
91,9800,5
4529,128090,5
4529,7583,5
538,89757,5
9656,66066,5
778,14657,4
778,53118,5
778,65736,5
8252,90422,1
8252,69925,5
737,120202,5
737,107746,5
1116,31988,4
2550,16451,5
172,50010,5
5264,104154,5
2831,82277,5
2831,72126,5
2831,60112,5
2831,37140,5
2831,89109,5
763,20231,5
763,107746,4
763,7499,5
763,16232,5
8395,118185,4
8395,16451,5
8395,7583,5
8395,122482,5
8395,65447,5
8395,125328,5
6601,63996,5
5879,78309,5
4566,56147,5
4566,66066,5
4566,43515,4
4566,60612,5
4566,100113,2
1030,132520,5
1527,34988,5
1527,27560,5
8745,128090,5
8745,17788,5
7863,79136,5
403,65023,5
4800,119574,5
4800,9521,5
4800,53108,4
4800,114578,5
4800,96710,5
6725,38135,5
6725,88589,5
2037,30296,5
3337,76524,5
5607,85603,3
811,107746,5
2036,30296,5
9569,55358,5
5583,76524,5
5583,52645,5
5583,62701,5
824,17767,3
824,30727,5
1087,79919,2
1087,122438,5
8343,58511,5
8343,72069,4
5087,14654,5
5087,118704,5
5087,123565,5
5092,14654,5
5092,118704,5
5092,29063,4
8209,73150,5
571,27033,4
571,2011,5
571,12555,5
571,2604,5
571,534,3
571,113186,5
1320,89418,5
1320,79136,5
2925,25707,5
3832,60112,5
3832,37140,5
3832,89109,5
2065,114346,5
2065,51538,5
2065,53471,5
2065,122473,5
4168,90422,5
335,12834,5
335,18906,5
573,27033,5
573,2011,5
573,12555,5
573,2604,5
573,534,3
573,6106,5
573,113186,5
1741,10890,5
1741,55358,4
3465,41569,5
1864,10498,5
5424,49856,1
5424,119574,5
5424,9521,5
5424,78207,5
5424,114578,5
5424,96710,5
5424,83374,5
6572,104049,5
400,9481,5
400,40849,5
9652,46544,5
9657,66066,5
5803,76563,5
2924,25707,5
5616,62807,5
3833,60112,5
3833,37140,5
3833,89109,5
1474,120005,5
1474,34308,5
6765,31601,5
5480,115016,5
277,2011,4
277,7722,5
277,534,3
277,16612,5
277,12555,5
277,2604,5
277,11722,4
277,8586,5
277,5798,5
277,43241,5
277,10890,5
277,10498,5
277,66783,2
277,10104,4
277,4901,4
4676,49856,1
4676,9521,5
4676,30885,5
4676,114578,5
4676,96710,5
4676,83374,5
4676,73642,5
3012,74922,5
8034,68185,5
8034,78055,5
8034,56149,5
8034,27337,5
8034,66134,5
8034,83374,5
8034,45480,5
8034,37293,5
4961,64807,5
4961,107733,5
575,12555,4
575,16612,5
575,55358,4
575,133397,4
575,10104,3
7220,6940,4
3533,81880,5
3533,75181,4
1787,15171,5
1787,50172,5
1787,8953,4
4707,53708,5
4707,11881,5
1645,66783,4
8419,54914,5
610,15941,4
610,38467,5
610,7722,5
610,2011,5
610,534,3
610,44565,5
610,22033,5
6113,126300,5
7797,8573,5
7797,92625,5
5793,36454,5
9256,53270,5
9256,104154,5
892,20231,5
892,76563,5
892,79496,5
3114,10916,5
3114,35691,4
3114,64807,5
3114,43245,5
3114,54914,5
3450,50363,5
9049,92880,5
644,27033,5
644,2011,5
644,534,3
644,99744,4
644,10104,3
8666,90719,5
8666,2750,5
8666,11881,5
1121,107746,5
10031,11518,5
7627,2315,5
770,15424,5
770,5798,5
770,2011,5
770,88524,5
1149,32423,5
1149,6106,5
9254,53270,5
9254,104154,5
9047,92880,5
4507,9537,5
351,33332,5
351,9728,5
351,7890,4
351,7040,4
9273,53270,5
9273,104154,5
351,6575,5
351,48717,5
351,1349,5
7902,110106,5
7902,88448,5
7902,24537,5
7902,91122,5
3539,40758,5
211,58511,5
211,123798,5
211,78309,4
211,486,5
675,15120,4
675,79919,5
675,77672,4
675,36454,5
675,107733,5
6600,63996,5
8369,8156,5
8369,31988,5
8369,48036,5
8369,121404,5
8369,58903,5
8369,27429,5
8369,13420,5
8369,19230,5
8369,10737,4
8369,37143,5
8369,69148,5
8349,113186,5
7587,116419,5
7587,24831,5
7587,68185,5
7587,78055,5
7587,66134,5
7587,56149,5
7587,71865,5
7587,37293,5
1039,109107,5
1039,33128,5
1039,16232,5
3109,35691,4
3109,64807,5
3109,54914,5
3109,90719,5
3109,9537,5
3836,60112,5
3836,12704,5
3836,82476,5
360,90208,5
3111,35691,4
3111,64807,5
2829,60112,4
2829,37140,5
2829,89109,5
2829,34076,5
4703,72069,5
210,123798,5
210,486,5
1276,7618,5
1276,40758,5
9736,17239,5
3112,35691,4
3112,64807,5
3112,9537,3
3112,43245,5
6387,122438,5
6387,53270,5
2506,35691,4
2506,64807,5
2506,43245,5
2506,9537,4
2506,2750,5
2506,11881,5
7343,27205,5
7343,58787,5
7798,8573,5
7798,92625,5
3865,65447,5
3865,66066,5
4692,49856,1
4692,119574,5
4692,9521,5
4692,114578,5
4692,96710,5
4692,83374,5
4692,73642,5
4560,49856,1
4560,56147,5
4560,33128,4
4560,43515,4
4560,73642,5
4560,123995,5
4560,60612,5
9250,53270,5
2260,20231,5
2260,79496,5
2260,87960,5
2260,9683,5
8703,54914,5
8703,133759,5
5117,110106,3
8445,109516,5
6933,6807,4
6933,34527,5
6933,7583,5
6933,72069,5
3076,7854,5
3186,70567,3
1786,8953,4
5094,14654,5
5094,89418,5
2683,65341,5
2683,96394,5
2683,50815,5
1769,59440,5
1769,44113,5
1769,48670,5
1769,48821,5
1769,48717,5
1769,68494,5
1769,52075,5
1769,51941,5
1769,90516,5
1769,50010,5
1769,59143,3
1769,36980,5
3080,83374,5
3080,30885,5
3080,114578,5
3080,96710,5
3840,60112,5
3840,12704,4
3840,89109,5
3840,72126,5
3840,37140,5
1124,120202,5
1124,107746,5
3113,10916,5
3113,64807,5
3113,92880,5
3113,9537,5
3113,43245,5
3113,11881,5
7803,8573,5
7803,92625,5
4693,119574,5
4693,9521,5
4693,54096,5
4693,30885,5
4693,68221,5
3161,73826,5
4609,85810,5
4798,9521,5
4798,54096,5
4798,30885,5
4798,53108,4
4798,96710,5
1471,27205,5
2923,25707,5
1389,124139,5
1389,41725,3
3504,82277,5
3504,81711,4
3203,10851,5
3203,44581,5
9318,53270,5
9318,52645,5
5844,9481,5
5844,94440,5
5844,85592,5
8814,92880,5
5451,68221,5
5451,119574,5
5451,9521,5
5451,109516,5
5451,96710,5
5451,83374,5
5451,73642,5
2026,32871,1
742,20231,5
742,87960,5
742,79496,5
949,22599,5
949,17239,5
949,7618,4
949,27033,5
949,32871,5
949,43241,5
949,6106,5
4561,49856,1
4561,56147,5
4561,66066,4
4561,54096,5
4561,43515,5
4561,123995,5
4561,60612,5
774,4901,5
774,1631,4
774,9911,5
774,63883,5
774,52829,5
774,2559,5
6256,86742,5
3837,60112,5
3837,37140,5
3837,89109,5
3837,82476,5
4479,41227,5
4479,24537,5
5372,118704,5
5372,123565,5
470,12555,5
470,32423,5
470,118704,5
470,22033,4
470,126300,5
470,10104,5
2000,133332,5
2000,79600,5
2038,30296,5
9251,53270,5
9251,104154,5
469,12555,4
469,22033,4
469,76524,5
469,106114,5
469,10104,4
1557,124139,5
1849,38467,5
243,20942,5
243,12834,5
243,8106,5
243,3415,5
5541,45280,4
5541,103208,1
243,48036,5
243,30255,5
243,10104,4
243,928,5
243,9911,5
243,7773,5
5618,92625,5
4618,89418,5
4618,118704,5
4307,1587,5
4245,9683,5
4245,88317,5
4567,66066,5
4567,33128,4
4567,123995,5
4567,60612,5
4675,83374,5
4675,119574,5
4675,9521,5
4675,54096,5
4675,30885,4
4675,53108,4
4675,96710,5
4675,68221,5
4675,92673,5
9253,53270,5
5846,21523,5
777,53118,5
3981,75337,5
3981,90422,5
3981,50363,5
2828,82277,5
2828,10851,5
2828,24537,5
2828,60112,5
2828,12704,4
2828,89109,5
9019,116419,5
9019,68185,5
9019,56149,5
9019,66134,5
9019,37293,5
9019,83374,5
9019,92673,5
401,120005,5
748,32871,5
748,20231,5
748,76563,5
748,79496,5
748,84071,5
1712,56289,4
1712,18906,5
1712,58903,5
5116,95067,5
8757,122438,5
8757,120005,5
8757,53270,5
8757,29846,5
8540,112056,5
8540,21523,5
8540,54096,5
8540,30885,5
8540,83374,5
8540,78207,5
2555,84285,5
2555,109107,5
8480,132961,5
8480,6016,5
8480,8654,5
8480,31595,5
8480,38369,5
9249,53270,5
9249,104154,5
860,20231,5
860,76563,5
860,79496,5
860,87960,5
1529,19452,5
4562,73642,5
4562,66066,5
4562,33128,4
4562,72649,5
9044,92880,5
8665,90719,5
8665,11881,5
3131,32871,5
3131,76563,5
1855,7618,5
176,84285,5
176,16451,5
176,113006,5
8667,90719,5
8667,9537,5
8667,43245,4
8667,11881,5
7583,6940,5
7583,63587,5
7583,66134,5
7796,8573,5
7796,92625,5
7796,5584,5
2650,90422,5
2650,65023,5
2650,63996,5
2968,44259,5
2968,27071,5
2968,50172,5
2826,82277,5
2826,60112,5
2826,12704,5
2826,89109,5
2826,37140,5
4694,119574,5
4694,9521,5
4694,30885,5
4694,114578,5
4694,96710,5
4694,73642,5
5088,14654,5
5088,118704,5
5088,29063,4
5088,40849,5
2503,35691,4
2503,9537,5
2503,43245,5
2503,2750,5
5371,14654,5
5371,89418,5
5371,118704,5
5371,40849,4
2502,35691,5
2502,43245,5
2502,11881,5
8664,43245,4
8664,11881,5
3505,27205,5
3505,82277,5
3505,81711,4
5787,27071,3
6999,34308,5
6999,7583,5
4931,94440,5
4931,7583,5
4931,92214,5
2830,89109,5
2830,24537,5
2830,60112,5
2830,37140,5
2258,20231,5
2258,76563,5
2258,79496,5
2258,84071,5
2258,87960,5
2258,9683,5
3946,63901,5
738,107746,5
386,72498,4
386,27560,5
386,9911,5
386,1587,5
386,32906,4
386,12698,5
386,12834,5
386,23824,5
386,63964,5
386,9050,5
386,23598,5
386,107128,5
5091,14654,5
5091,89418,5
5091,118704,5
5091,123565,5
386,34527,5
386,9800,5
386,35416,5
386,58787,5
2127,88707,5
1504,19452,5
4630,14654,5
4630,89418,5
4630,118704,5
4630,40849,4
9582,34076,5
2929,1412,5
5090,14654,5
5090,89418,5
5090,118704,5
7194,128090,5
7194,34818,5
7194,117368,5
600,665,5
600,114521,5
600,31488,5
600,52829,5
600,45382,5
600,127221,5
600,86742,5
600,31827,5
5454,119574,5
5454,9521,5
5454,78207,5
5454,53108,4
5454,114578,5
5454,96710,5
5454,73642,5
2504,82277,5
2504,35691,4
2504,64807,5
2504,43245,4
2504,2750,5
6582,76524,5
6582,116772,5
6582,110106,5
6582,95067,5
2827,60112,5
2827,37140,5
2827,72126,5
8257,48670,5
8257,20726,5
8257,46544,5
8257,12545,5
8257,76563,5
8257,63587,5
8257,3750,5
8257,32241,5
3227,7854,5
2259,20231,5
2259,76563,5
2259,79496,4
2259,84071,5
2259,9683,5
1841,3443,4
1841,72126,5
1606,109107,5
4965,76563,5
4965,65023,5
4965,112056,5
4965,75337,5
6668,90422,4
3369,21325,5
680,15120,5
680,38467,5
680,79919,5
680,5584,5
680,36454,5
680,62701,5
680,7854,5
680,107733,5
2700,4534,5
2700,95319,3
376,18906,5
376,22033,4
376,10890,5
376,10104,5
2505,35691,4
2505,64807,5
2505,82277,5
2505,90719,5
2505,9537,5
2505,43245,5
2505,2750,5
9823,51538,5
9841,56353,5
5943,9481,5
1285,17093,4
1285,55358,5
4477,85810,5
4477,80462,5
5722,51538,5
267,1349,5
267,51538,5
2967,84285,5
5693,63996,5
5693,50172,5
8137,34527,5
4568,49856,1
4568,56147,5
4568,33128,4
4568,43515,4
4568,73642,5
4568,60612,5
1924,27205,4
1924,84285,5
1924,32871,5
1924,66783,4
1924,194,5
5944,9481,5
4465,164,5
4465,63996,5
681,116772,5
681,96394,5
5545,18906,5
5848,85592,5
8873,13629,5
8873,15786,5
8873,45133,5
8873,2750,5
8873,21382,5
2296,13012,5
5703,72126,5
4016,76524,5
4016,88707,5
4016,17093,5
4016,6940,5
4016,34308,5
3368,38596,5
3368,25707,5
3368,92570,4
3368,94976,5
3368,38135,5
5986,53270,5
5986,91213,5
5986,15171,5
5093,14654,5
5093,89418,5
5093,118704,5
5093,123565,5
1903,118185,5
1903,20738,5
1903,62494,5
1903,107746,4
1903,30296,5
1903,42309,5
1903,25318,5
4559,33128,4
4559,43515,4
4559,123995,5
6871,73545,4
6871,34818,5
7896,72410,5
8670,86923,5
4053,20224,5
5867,96570,5
5867,79757,5
8516,118185,5
8516,34527,5
6767,116419,5
6767,6940,5
6767,31601,5
6767,24831,5
8869,128090,5
8869,96394,5
8869,19931,5
8869,119325,5
8533,119325,5
880,23824,5
880,48036,5
880,69464,5
880,113826,5
9424,128090,5
7076,31488,5
7076,74922,5
4959,194,5
4959,42003,2
4959,56147,5
2523,18906,5
2523,53864,3
2523,19277,4
2523,1631,5
2523,1587,5
2523,32423,5
2523,25318,5
2523,110106,5
2523,15171,5
2501,35691,4
2501,43245,5
2501,11881,5
607,38467,5
607,2011,5
607,7722,5
607,12555,5
607,534,3
607,42003,4
607,23636,5
607,16232,5
4799,83374,5
9045,92880,5
348,7890,4
348,51538,5
9372,41227,5
4165,28674,4
4565,6807,4
4565,66066,5
4565,54096,5
4565,56147,5
4565,123995,5
1475,34308,5
5687,90422,5
4015,117375,5
468,17767,5
468,22033,4
468,8139,5
468,107128,5
468,73150,5
468,126300,5
5391,76524,5
5391,27071,5
5391,55358,5
4932,56789,5
4932,7583,5
4932,124139,5
175,5785,4
175,118270,5
175,105955,5
175,2090,5
175,3443,4
175,109130,5
175,124139,5
175,42309,5
