product_id,rs_
58441480,"[22371563, 56509085, 56509081, 54003813, 56511851]"
3071851,"[2879385, 2916523, 532141, 50298244, 10639998]"
59235430,"[51409053, 59235442, 59235440, 650004, 5988095]"
568145,"[568144, 17960480, 57351908, 29254205, 46626771]"
51036508,"[49204099, 48035334, 49922642, 55645536, 54003386]"
13624117,"[13624127, 13624121, 13624111, 13624118, 13624125]"
51598547,"[57520293, 49026053, 49026037, 10697068, 53249480]"
3212477,"[46626771, 29254205, 17960480, 58129503, 57351908]"
474168,"[474168, 500769, 472441, 1535017, 1535021]"
463284,"[463273, 475852, 475828, 450870, 442774]"
383386,"[58342212, 383384, 20485914, 12327749, 383448]"
343300,"[322295, 1076424, 3598239, 46009007, 1445373]"
7959221,"[37873530, 3577377, 57520293, 34747617, 51598547]"
339327,"[370431, 363077, 398522, 374250, 408916]"
47278760,"[476135, 2210863, 24164761, 24164658, 20489428]"
55187168,"[55187166, 53750148, 44976177, 55187164, 55187168]"
686668,"[19913973, 10930944, 1938911, 4696363, 34271371]"
56511851,"[56509081, 56509085, 56509087, 56511851, 54003813]"
460512,"[562911, 49377595, 46755074, 49601074, 7709526]"
11255089,"[11255075, 15634590, 16085854, 11713390, 11228095]"
50277619,"[49459960, 56408677, 36710372, 49549964, 57521326]"
532318,"[7675975, 8835539, 573011, 3639597, 36363381]"
29254205,"[29254205, 46626771, 17960480, 57351908, 568140]"
352800,"[518928, 2126087, 22367412, 6107997, 1020669]"
10697068,"[49549964, 57520293, 51598547, 57521326, 36710372]"
439874,"[437717, 54266567, 2002409, 383329, 25651661]"
58397035,"[58397037, 58397029, 58397031, 58397033, 54513177]"
476144,"[2210863, 47278760, 476135, 24164761, 2210861]"
49640909,"[34951684, 23207337, 17032454, 365801, 365798]"
470897,"[542980, 2386335, 542923, 525791, 481224]"
542759,"[374106, 1085098, 8835141, 10142496, 1348643]"
1938911,"[1938911, 10930944, 2582233, 2582237, 1606675]"
373124,"[373124, 20743144, 517289, 355869, 1891407]"
14645347,"[799015, 13920939, 56511849, 56603322, 56511853]"
2612575,"[7125321, 7125309, 2612565, 2612567, 7125303]"
475374,"[475377, 475371, 558666, 20737988, 34747617]"
50440317,"[17336260, 60833238, 55462655, 1938911, 36710372]"
32080645,"[564643, 1374369, 8149202, 8287412, 25202513]"
20918798,"[45370394, 56690905, 383364, 383329, 29190890]"
10738192,"[10738182, 10738186, 10738196, 10738180, 10738194]"
532305,"[391461, 10678954, 55514215, 532320, 68423755]"
650004,"[59235442, 571308, 59235430, 59235440, 5988095]"
53249480,"[51598547, 57520293, 49026053, 49026037, 65443440]"
