product_id,content,customer_id,user_name,stars,comment_id
58441480,,6024679,Nhung Phạm,5,4864338
58441480,,11333255,Nguyen Nang Quang,4,4589409
3071851,"Sách có hình vẽ và nội dung rất đáng yêu, là một món ăn tinh thần cho bạn nhỏ kích thích niềm yêu thích học tiếng anh",6292041,Phan Thi Hoan,5,2831147
3071851,Sách dễ thương. Bé nhà mình rất thích :),10905691,Yến Nhi,5,3477988
3071851,Sách dễ thương,7933673,Ngoc Dung,5,4633043
3071851,,18164645,Đạt Đoàn,5,4913035
3071851,,358141,Lê Thu Hằng,5,3856816
3071851,,15575746,Nguyễn Thị Luyến,5,3704500
59235430,Sách 7+,1794989,Mai Quốc Trung,5,4756951
59235430,,16627187,Lâm Văn Xự,5,4750659
568145,,6209731,Vi Loan,5,4736278
568145,,122529,pham uyên,5,4372410
51036508,Truyện đọc hay,14370333,Nguyễn thanh nhựt,5,5091831
51036508,,13600937,Huỳnh Như,5,4830169
51036508,,8881869,Pi Nguyễn,5,4829760
51036508,,5962045,Trần phước trí,5,4785591
51036508,,493370,Lê Tú Anh,5,4643791
51036508,,15868747,Lm Hu Th,5,4590408
51036508,,9878424,Nguyễn Duy Tùng,5,4578729
51036508,,165413,Nguyễn Chương,4,4461560
51036508,,114827,nguyen phuong lan,5,3927934
13624117,"Bộ sách giáo dục tính cách của trẻ bằng cách lồng ghép những câu chuyện ý nghĩa, bé nhà mình rất thích đọc. Mình sưu tập trọn bộ 12 cuốn này vừa để con nuôi dưỡng tâm hồn, vừa tạo thói quen đọc và chuẩn bị vốn từ vựng để con dễ dàng tiếp cận môn tập làm văn ở lớp 3.",585013,Luu Kim Anh,5,2234209
13624117,"truyện đẹp, chất liệu giấy, mực in rất ok, bé rất thích, đã giới thiệu cho các mom và trường tiểu học mua cho các bé lớp 1 đến lớp 3 phù hợp nè",11045558,Nguyễn Thị Minh Thuỳ,5,4799717
13624117,"Bộ sách giá trị, mình rất hài lòng, tiki giao hàng nhanh, đóng gói cẩn thận",16535386,Lng,5,3359563
13624117,,1344977,Thủy Vũ,4,4843062
13624117,,17122681,Nguyen Minhnguyet,5,3980818
